n, height, H(n)/2n, H(n)/2√n, H(n)/2Lg(n)
2000, 22, 0.0055, 0.24596747752497686, 1.0031202250974216
4000, 24, 0.003, 0.18973665961010278, 1.0028594628253302
6000, 26, 0.0021666666666666666, 0.16782927833565472, 1.0357949389226753
8000, 28, 0.00175, 0.15652475842498528, 1.0797649947455428
10000, 29, 0.00145, 0.145, 1.0912337342819318
12000, 30, 0.00125, 0.13693063937629152, 1.1069500624260813
14000, 30, 0.0010714285714285715, 0.1267731382092775, 1.0890763372726056
16000, 31, 0.00096875, 0.12253825933152471, 1.1098553209806388
18000, 30, 0.0008333333333333334, 0.1118033988749895, 1.06114236621612
20000, 32, 0.0008, 0.1131370849898476, 1.119843371350435
22000, 31, 0.0007045454545454546, 0.10450097868180253, 1.0745073144073212
24000, 33, 0.0006875, 0.10650704202070396, 1.1339624174186616
26000, 32, 0.0006153846153846154, 0.09922778767136677, 1.090942017314197
28000, 32, 0.0005714285714285715, 0.09561828874675149, 1.0830467225762186
30000, 34, 0.0005666666666666667, 0.09814954576223638, 1.1430358114364085
